Label,Collected Date,pH,TKP (mg P/L),TKN (mg N/L),16S,mcyA.M,mcyA.A,mcyA.P,year
15-21770001,2018-08-27 15:10:00,8.5,1.076,0.129,1.25e+08,72700,0,0,2018
14-21620001,2018-08-20 07:00:00,9,1.031,0.1445,1080000,5160,0,0,2018
8-21810002,2018-07-10 10:00:00,8.7,1.284,0.474,4230000,45500,0,0,2018
15-21940001,2018-08-27 07:00:00,7.7,1.137,-0.146,9020000,20900,0,0,2018
10-21260001,2018-07-25 07:30:00,9.43,0.33,0.16,805000,0,0,0,2018
10-21270001,2018-07-25 12:30:00,8.4,-0.022,0.153,3530000,0,0,0,2018
5-21150001,2018-06-19 13:45:00,8.2,0.957,0.489,1770000,5240,0,0,2018
15-21420001,2018-08-29 09:30:00,8.5,1.071,0.137,0,0,0,0,2018
6-21070001,2018-06-26 09:15:00,7.9,1.549,0.367,6200000,27800,0,0,2018
5-21170001,2018-06-20 12:25:00,8.1,1.003,0.529,5020000,40800,0,0,2018
6-21780001,2018-06-26 08:20:00,8.2,1.114,0.205,5570000,29100,0,0,2018
15-21300002,2018-08-27 14:15:00,8.3,1.145,0.029,12500000,35700,0,0,2018
15-21670001,2018-08-28 09:40:00,8.38,1.073,-0.115,288000,0,0,0,2018
12-21670001,2018-08-07 09:38:00,8.74,0.8,-0.238,9900000,14500,0,0,2018
13-21670001,2018-08-14 09:34:00,8.69,1.181,0.25,20600000,0,0,0,2018
6-21590001,2018-06-27 08:30:00,7.9,1.263,0.362,1390000,336,0,0,2018
15-21810002,2018-08-27 09:45:00,8.2,1.095,-0.033,8930000,7800,0,0,2018
3-21130002,2018-06-05 08:15:00,8.2,1.331,0.647,1500000,3740,0,0,2018
15-21590001,2018-08-29 08:33:00,7.53,1.058,0.093,270000,0,0,0,2018
10-21620001,2018-07-25 12:15:00,10.1,0.198,0.076,4950000,21100,0,0,2018
9-21260001,2018-07-18 11:50:00,7.8,1.07289330922242,0.17,2250000,0,0,0,2018
13-21870001,2018-08-14 12:30:00,8.97,1.064,0.305,8900000,8710,0,0,2018
6-21300005,2018-06-27 07:11:00,8.55,1.188,0.283,2790000,22500,0,0,2018
12-21910001,2018-08-08 07:00:00,9.15,0.756,0.037,7660000,0,0,0,2018
15-21390001,2018-08-28 13:08:00,8.5,1.036,0.107,0,0,0,0,2018
11-21130001,2018-07-31 09:05:00,8.7,0.455,0.342,3070000,12400,0,0,2018
9-21300005,2018-07-18 07:40:00,8.6,0.909755877034358,0.152,4140000,43700,0,0,2018
9-21300003,2018-07-18 09:35:00,8.2,0.969927667269439,0.233,1.2e+07,28700,0,0,2018
12-21770001,2018-08-07 07:15:00,8.3,0.792,-0.242,8490000,17300,0,0,2018
6-21520001,2018-06-26 13:15:00,8.8,1.155,0.434,6200000,15200,0,0,2018
14-21500001,2018-08-22 07:00:00,8.1,1.094,0.249,27100000,66200,0,0,2018
10-21390001,2018-07-24 14:15:00,8.4,0.038,0.2,3090000,7760,0,0,2018
14-21910001,2018-08-22 07:00:00,7.9,1.165,0.097,9690,0,0,0,2018
12-21300004,2018-08-08 10:55:00,8.07,0.782,-0.126,0,0,0,0,2018
4-21810002,2018-06-12 10:30:00,8.6,1.214,0.458,10100000,43900,0,0,2018
14-21130001,2018-08-20 08:30:00,8.6,1.115,0.166,2540000,9740,0,0,2018
13-21940001,2018-08-14 07:30:00,8.4,1.136,0.388,14100000,11800,0,0,2018
11-21880001,2018-07-31 09:45:00,8.4,0.118,0.243,4610000,51800,0,0,2018
9-21390001,2018-07-17 13:45:00,8.3,1.51594032549729,0.177,4480000,11100,0,0,2018
1-21770001,2018-05-22 07:05:00,8.7,1.339,0.467,11200000,0,0,0,2018
9-21670001,2018-07-17 10:00:00,8.2,1.63607594936709,0.12,2210000,0,0,0,2018
11-21830001,2018-07-31 12:33:00,9.49,0.178,0.214,3450000,13000,0,0,2018
8-21070001,2018-07-10 09:10:00,8.6,1.256,0.548,1370000,5290,0,17500,2018
6-21910001,2018-06-27 07:00:00,8.2,1.225,0.408,1760000,310,0,0,2018
13-21830001,2018-08-14 12:00:00,9.11,1.172,0.303,5280000,5420,0,0,2018
15-21920001,2018-08-27 11:30:00,8.6,1.145,-0.126,6750000,0,0,0,2018
6-21920001,2018-06-27 07:45:00,8.5,1.408,0.419,2390000,20700,0,0,2018
14-21590001,2018-08-22 08:22:00,7.64,1.186,0.08,24100000,0,0,0,2018
11-21590001,2018-08-01 08:15:00,8.5,0.107,0.138,6400000,143,0,0,2018
10-21910001,2018-07-25 07:15:00,8.6,0.094,-0.037,5010000,0,0,0,2018
14-21770001,2018-08-20 07:00:00,8.9,1.068,0.187,4820000,0,0,0,2018
14-21810002,2018-08-20 09:30:00,8.3,1.022,0.193,1.88e+08,58900,0,0,2018
6-21810001,2018-06-26 12:21:00,8.3,1.182,0.363,2240000,8990,0,0,2018
9-21920001,2018-07-18 08:00:00,8.54,0.880922,0.182,11200000,47400,0,0,2018
8-21150001,2018-07-10 14:30:00,8.5,1.194,0.447,2580000,33300,0,0,2018
14-21670001,2018-08-21 09:32:00,8.48,1.073,-0.11,9440000,0,0,0,2018
14-21890001,2018-08-20 09:30:00,8.3,1.015,0.156,0,0,0,0,2018
14-21130002,2018-08-20 08:15:00,8.5,1.027,0.179,4300000,16100,0,0,2018
9-21870001,2018-07-17 10:46:00,8.76,1.45226039783002,0.142,4450000,6940,0,0,2018
6-21890001,2018-06-27 09:30:00,7.8,1.129,0.34,3540000,2350,0,0,2018
14-21830001,2018-08-21 11:29:00,7.69,1.16,0.237,1.5e+07,9160,0,0,2018
6-21500001,2018-06-27 07:00:00,8.4,1.233,0.374,8280000,5890,0,0,2018
1-21420001,2018-05-23 09:40:00,8.4,1.245,0.586,1880000,2050,0,0,2018
1-21300002,2018-05-23 08:45:00,8.1,1.261,0.476,1040000,0,0,0,2018
14-21870001,2018-08-20 11:35:00,8.9,0.973,0.145,2730000,60000,0,0,2018
14-21070001,2018-08-21 10:30:00,8.8,1.117,0.162,3550000,17500,0,30000,2018
